Student_ID,Skill,Assessment_Score
STU0001,Python,63
STU0001,SQL,44
STU0001,Power BI,64
STU0001,Machine Learning,62
STU0001,Java,31
STU0001,Communication,54
STU0002,Python,61
STU0002,SQL,54
STU0002,Power BI,54
STU0002,Machine Learning,39
STU0002,Java,70
STU0002,Communication,77
STU0003,Python,60
STU0003,SQL,73
STU0003,Power BI,60
STU0003,Machine Learning,39
STU0003,Java,63
STU0003,Communication,57
STU0004,Python,71
STU0004,SQL,57
STU0004,Power BI,52
STU0004,Machine Learning,41
STU0004,Java,75
STU0004,Communication,66
STU0005,Python,53
STU0005,SQL,53
STU0005,Power BI,61
STU0005,Machine Learning,55
STU0005,Java,64
STU0005,Communication,73
STU0006,Python,89
STU0006,SQL,53
STU0006,Power BI,47
STU0006,Machine Learning,39
STU0006,Java,67
STU0006,Communication,80
STU0007,Python,57
STU0007,SQL,47
STU0007,Power BI,43
STU0007,Machine Learning,58
STU0007,Java,68
STU0007,Communication,74
STU0008,Python,50
STU0008,SQL,61
STU0008,Power BI,56
STU0008,Machine Learning,53
STU0008,Java,70
STU0008,Communication,70
STU0009,Python,69
STU0009,SQL,59
STU0009,Power BI,58
STU0009,Machine Learning,58
STU0009,Java,38
STU0009,Communication,64
STU0010,Python,52
STU0010,SQL,50
STU0010,Power BI,50
STU0010,Machine Learning,69
STU0010,Java,46
STU0010,Communication,79
STU0011,Python,35
STU0011,SQL,54
STU0011,Power BI,56
STU0011,Machine Learning,58
STU0011,Java,68
STU0011,Communication,77
STU0012,Python,54
STU0012,SQL,52
STU0012,Power BI,65
STU0012,Machine Learning,48
STU0012,Java,40
STU0012,Communication,56
STU0013,Python,46
STU0013,SQL,64
STU0013,Power BI,56
STU0013,Machine Learning,59
STU0013,Java,52
STU0013,Communication,70
STU0014,Python,68
STU0014,SQL,54
STU0014,Power BI,60
STU0014,Machine Learning,41
STU0014,Java,53
STU0014,Communication,64
STU0015,Python,42
STU0015,SQL,64
STU0015,Power BI,48
STU0015,Machine Learning,50
STU0015,Java,65
STU0015,Communication,73
STU0016,Python,68
STU0016,SQL,57
STU0016,Power BI,48
STU0016,Machine Learning,49
STU0016,Java,34
STU0016,Communication,52
STU0017,Python,40
STU0017,SQL,45
STU0017,Power BI,59
STU0017,Machine Learning,38
STU0017,Java,53
STU0017,Communication,82
STU0018,Python,54
STU0018,SQL,68
STU0018,Power BI,42
STU0018,Machine Learning,47
STU0018,Java,45
STU0018,Communication,64
STU0019,Python,71
STU0019,SQL,36
STU0019,Power BI,60
STU0019,Machine Learning,53
STU0019,Java,50
STU0019,Communication,52
STU0020,Python,60
STU0020,SQL,51
STU0020,Power BI,57
STU0020,Machine Learning,50
STU0020,Java,80
STU0020,Communication,65
STU0021,Python,45
STU0021,SQL,60
STU0021,Power BI,57
STU0021,Machine Learning,68
STU0021,Java,70
STU0021,Communication,72
STU0022,Python,79
STU0022,SQL,43
STU0022,Power BI,46
STU0022,Machine Learning,38
STU0022,Java,53
STU0022,Communication,53
STU0023,Python,68
STU0023,SQL,55
STU0023,Power BI,35
STU0023,Machine Learning,37
STU0023,Java,62
STU0023,Communication,77
STU0024,Python,87
STU0024,SQL,96
STU0024,Power BI,59
STU0024,Machine Learning,37
STU0024,Java,28
STU0024,Communication,71
STU0025,Python,48
STU0025,SQL,53
STU0025,Power BI,46
STU0025,Machine Learning,48
STU0025,Java,73
STU0025,Communication,70
STU0026,Python,57
STU0026,SQL,45
STU0026,Power BI,32
STU0026,Machine Learning,44
STU0026,Java,57
STU0026,Communication,87
STU0027,Python,61
STU0027,SQL,71
STU0027,Power BI,48
STU0027,Machine Learning,35
STU0027,Java,44
STU0027,Communication,60
STU0028,Python,89
STU0028,SQL,47
STU0028,Power BI,65
STU0028,Machine Learning,38
STU0028,Java,71
STU0028,Communication,72
STU0029,Python,57
STU0029,SQL,57
STU0029,Power BI,45
STU0029,Machine Learning,56
STU0029,Java,52
STU0029,Communication,55
STU0030,Python,41
STU0030,SQL,60
STU0030,Power BI,75
STU0030,Machine Learning,52
STU0030,Java,56
STU0030,Communication,71
STU0031,Python,77
STU0031,SQL,61
STU0031,Power BI,49
STU0031,Machine Learning,64
STU0031,Java,64
STU0031,Communication,85
STU0032,Python,62
STU0032,SQL,42
STU0032,Power BI,36
STU0032,Machine Learning,71
STU0032,Java,82
STU0032,Communication,66
STU0033,Python,54
STU0033,SQL,77
STU0033,Power BI,40
STU0033,Machine Learning,38
STU0033,Java,67
STU0033,Communication,64
STU0034,Python,59
STU0034,SQL,56
